|input
8926|Full English breakfast is served on Sundays , it was nothing extraordinary , but for the price alright .
8927|On Mondays , breakfast is served in another hotel just across the street · very basic continental with cereals , bread , one type of ham and cheese , juices , hot drinks , etc.
8928|Overall · it 's absolutely alright for the price you pay and the breakfast · while nothing special · is a nice plus .
8929|Amazing holiday
8930|The hotel was massive and had everything that I could possibly need .
8931|Amazing value for money and excellent location .
8932|The staff were AMAZING , they made the whole holiday and even to the point where we extended our stay .
8933|Loved the amination staff especially Eran , is a true friend for life
8934|The best hotel we know
8935|We have visit the Hotel two times and arrive next year again .
8936|The most importen thing are that everyone who is working there , are the most good peopel we ever meet .
8937|Everybody is doing ther job exelent .
8938|The standard is in top , We love the cleanliness very good , every restaurant is in the top , clean and very good food .
8939|Thoroughly enjoyable holiday
8940|From arriving at the hotel the staff couldn 't do enough for us .
8941|The bungalow was excellent , the pool guys always helped and were very pleasant .
8942|The waiters were friendly , pleasant and helpful .
8943|The a la carte restaurant and the fish restaurant were excellent and good value .
8944|We have travelled all over the world and rate this as one of the best holidays .
8945|My husband became disabled in recent years and the help we received from the staff made it a holiday we could relax and enjoy without any stress to myself .
8946|The only down side was the dress code in the restaurants as in a hotel of this quality we would expect an evening dress code e.g long trousers for men and no beach wear .
8947|Hotel Golden 5 City Topaz Club
8948|I was there with a college 15 days ad Iwe like Topaz Club much more than Golden Five .
8949|The double rooms are perfect and very clean .
8950|The personal in the whole hotel let you feel that you are welcome en they treat you with care .
8951|The boys in the lobby bar ( f.i.Mo ) but also all the others were very friendly .
8952|My personel favourite is Gaber in the main restaurant as well as in the Italian rest .
8953|But as I said all the personal was very okay .
8954|One of the staff members speaks very good Dutch en Hussein M. the duty manager gave us a warm welcome and a very pleasant stay .
8955|Thank you all for that .
8956|The only thing we missed was snorkeling and a reef and a dutch channel on television .
8957|Miss you all
8958|A little piece of heaven
8959|A nice hotel in a good place ...
8960|At 2 steps from downtown !
8961|Breakfast is wonderful !
8962|Vital Spa is nice but interesting because accessible from 7 am to 11 pm !
8963|Koln contains a lot of shopping and church !
8964|Good budget location for budget travelers
8965|The Location is excellent within walking distance to Tivoli and the city center in general , plus being such a huge building you could easily spot it from a distance and never get lost .
8966|The bar on the ground floor is opened till late and serves cheap Carlsberg .
8967|Maybe the staff is not as friendly as one can expect but they have to deal with hundreds of guest , maybe one thousand , in busy weekend night , so they may be excused .
8968|Overall this is a good budget accommodation ( I booked one bed in a dorm ) for one weekend for people on a budget .
8969|I will be back in my next stay at Copenhagen .
8970|Excecutive chef and his team excellent ; great food .
8971|Our vacation was made by the executive chef and his team very friendly cooks and helpful always ready to go beyond expectation , the wait staff in the restaurant can learn a lot from the cooks , Fantastic food all over the hotel in the main restaurant and in the bistro , the executive chef was always there to answer your queries the sous chef was always checking the food to be hot and fresh , the restaurant managers were dull so was the staff , The food and beverage manager never had a smile on his face neither greeted the guests ( poor performance ) .we will visit the hotel again just because of the great food and the smiling cooks behind the pasta lines .
8984|Dive instructor just the BEST !
8985|Went to Daniela for the first time .
8986|I dived with Samy .
8987|What a nice , gentle guy he is !
8988|And , because I 've been all over the world to dive , he is very , very professional instructor .
8989|He sees everything , and you feel save with him .
8990|It 's just FUN diving with him .
8991|During the breaks he tells you everything about marinelife and he knows a lot to tell about it .
8992|Really awsome !
8993|The waiters and household did a great job , even as the kitchenstaff .
8994|They do everything to make your stay a pretty nice one .
